dalsi_spis_id;spis_id
1087;441413
1094;2076040
1762;783314
1773;441413
1775;441413
2279;441413
3503;441413
3505;441413
3507;441413
3520;441413
3546;441413
3549;441413
3566;1769
3584;441413
2827;2544413
4247;441413
5542;441413
4358;3571
4659;623
5803;441413
6504;309638
7802;441413
7807;441413
5806;623
6573;623
9840;441413
11390;441413
11393;441413
11402;441413
11404;441413
11406;441413
11409;441413
11423;441413
11440;441413
11445;441413
11401;441413
12275;1769
12309;623
12925;441413
14213;441413
14284;441413
14296;441413
14309;441413
14337;441413
14225;623
17074;441413
17081;1769
17183;1769
19130;3571
21606;309638
21645;441413
26644;441413
26867;441413
31567;441413
30907;4489842
28892;441413
28970;441413
28974;10017625
31960;1769
30825;26615
30831;1769
35326;110407
35403;2544413
33411;33429
30866;26615
30885;26615
33365;26615
37285;11436
38886;10017625
39068;185126
38909;3571
39010;3571
40577;511523
40600;441413
40609;441413
40670;441413
40695;441413
40816;441413
40835;441413
40854;441413
43509;441413
45825;441413
46576;10017625
48594;8514
48839;26615
52325;441413
40681;441413
52274;5982
53011;441413
53028;10017625
56891;623
56978;3571
61631;26615
61766;1769
63166;3571
68847;66490
68887;623
63330;441413
76347;137297
72075;441413
73912;10017625
81235;3571
77522;441413
58174;10017625
75926;9971787
83576;441413
83578;441413
83581;441413
83584;441413
83586;441413
83825;441413
86583;441413
86635;1769
86678;9971787
75939;80259
90211;441413
90245;441413
90260;441413
90294;441413
90322;441413
86608;14666
86650;623
86659;28922
89717;623
91661;59293
86553;441413
96481;4489842
94807;441413
97224;623
96523;37287
97063;3571
103729;28873
105186;10017625
105212;4622
105228;10017625
102735;2544413
105176;1487
105363;17747
105391;17745
105883;52138
105908;9971787
105946;9971787
106654;441413
106671;441413
106732;441413
106750;441413
106808;441413
106848;441413
106858;441413
106862;9971787
106874;441413
107182;10017625
107191;1769
110393;9971787
110973;1628
106899;17745
107171;17747
110616;13077
110639;33397
110697;14666
112707;441413
112713;441413
112717;441413
112720;441413
112722;441413
112724;441413
112726;441413
112834;10017625
112836;9971787
116894;96496
116948;10017625
117354;52138
116974;17747
116981;17745
118380;10017625
119382;441413
119417;441413
119543;441413
119545;441413
119551;441413
119553;441413
119555;441413
119565;441413
119567;441413
119903;441413
120071;441413
122238;56866
123448;3571
106835;441413
106880;441413
124071;46509
124121;54222
131997;96496
132011;441413
132025;441413
132037;441413
132015;17747
124113;14382
124115;52208
125027;20456
128640;66490
129864;10017625
129890;10017625
129989;117316
131673;441413
131678;441413
131680;441413
131682;441413
131668;441413
132014;441413
134890;10017625
130640;20456
130664;2544413
131610;3571
135051;117097
143594;1769
145195;9971787
145583;145554
145586;1769
147141;441413
147151;441413
148447;441413
151199;3571
151429;52208
148262;441413
122092;167953
112730;10017625
153404;441413
156195;9971787
155766;61550
158053;52208
164775;441413
159496;91635
159626;57000
159641;102847
159673;66519
164921;52208
167524;107652
167554;3571
167750;37287
163434;3571
160030;441413
148107;441413
160472;441413
160480;441413
160482;441413
160486;441413
160489;441413
160491;441413
159341;9971787
159489;9971787
159636;9971787
160493;441413
159258;96496
159334;10017625
159652;9971787
161436;129736
163355;66495
167854;441413
168280;441413
168288;441413
168595;441413
175781;81312
173529;2544413
168599;2544413
169398;102744
171842;3571
173179;75616
175468;2662686
177097;441413
180951;180951
180968;91635
175397;441413
188823;4489842
185231;1437214
182604;441413
182614;441413
182616;441413
182618;441413
182626;441413
182628;441413
182632;441413
182919;441413
182948;441413
184413;441413
183013;623
188623;26209
189124;441413
191163;10017625
194080;26615
193392;102744
193548;102744
203356;122547
195479;4489842
190391;441413
195481;441413
195483;441413
195485;441413
195488;441413
195490;441413
195493;441413
195499;441413
195501;441413
200108;441413
200111;441413
200116;441413
205418;37282
203922;3571
205438;26615
205530;26615
212548;90183
212207;102744
212287;52208
212299;14382
207752;441413
212150;441413
212228;117316
213243;441413
213289;441413
216428;1769
219214;117316
219241;114731
221947;441413
221951;441413
222062;441413
222069;441413
222097;441413
228058;441413
228115;128657
228170;10017625
230646;441413
226521;117337
226547;167953
228179;161452
238052;1769
230693;26615
231536;216080
230629;63178
234992;623
238317;28904
238475;8462
238536;2544413
232323;9971787
233007;441413
238189;10017625
241960;441413
241965;441413
240354;441413
241967;441413
241970;441413
241972;441413
241974;441413
241976;441413
243517;9971787
246025;441413
246028;441413
246034;441413
246036;441413
252022;4489842
252484;441413
252065;137672
254758;441413
254761;441413
254763;441413
254765;441413
258241;1437214
238188;4489842
263094;102744
261037;135183
262975;441413
265636;441413
270747;49587
270111;441413
272238;441413
274847;137672
274712;216584
274866;135183
276844;441413
276848;10017625
280381;8658
280386;8653
278711;73835
282392;170555
283002;441413
286552;212802
286682;135183
282086;203867
282383;10017625
282369;243766
282421;26615
289496;175425
290689;122247
292012;268293
299987;1769
295150;441413
295152;441413
295154;441413
295156;441413
295158;441413
300256;212802
302184;441413
303303;441413
310327;5356
310937;1769
308207;441413
308936;241089
312968;441413
313039;1769
316540;267699
319369;219148
319460;234779
323363;10017625
323388;1769
323324;3571
323350;185324
329701;1769
324811;10017625
324825;441413
326260;139812
328785;441413
327413;10017625
334549;159720
334559;441413
334603;441413
332585;441413
332591;441413
335554;102744
340712;10017625
343597;277386
343335;291987
343501;73835
347247;165707
351211;313328
347339;441413
347596;139812
347341;441413
347483;10017625
351001;441413
352835;441413
353379;441413
353381;441413
353383;441413
358044;5936
360407;441413
363290;293126
363312;165707
365448;441413
365450;441413
365638;441413
366244;111021
367527;383650
367923;368011
367420;186879
372166;441413
372216;441413
328818;66490
368419;182381
372114;2544413
372218;190375
382876;441413
383779;260938
382016;829281
384990;441413
388802;252143
393695;412890
396124;441413
396294;441413
400671;441413
400910;290703
400943;290703
399790;110407
399952;290703
400070;203001
400011;1769
403292;441413
403311;441413
409507;441413
409956;1769
410998;441413
414866;325241
414162;313328
416960;75403
424891;4489842
420980;441413
422463;441413
422564;441413
422716;441413
422722;441413
422734;441413
425000;4489842
428422;441413
428577;441413
429488;441413
429560;10017625
428707;441413
433481;441413
433489;1769
436873;441413
436924;441413
437123;26615
436654;441413
436660;441413
434746;2544413
442163;228339
442191;623
442271;466972
441382;441413
441395;441413
442414;441413
444088;441413
441419;441413
444569;350605
451299;623
435940;441413
442435;1769
446033;441413
454104;10017625
455042;441413
455044;441413
455055;441413
455057;441413
455059;441413
455063;455023
456060;441413
456070;441413
457386;466979
457327;444257
457258;102744
457398;190375
457240;102744
458284;441413
458286;441413
464657;171067
466722;441413
466724;441413
466739;441413
466748;441413
466750;441413
467786;449746
472981;441413
473275;441413
476610;337604
479397;441413
479399;441413
479406;441413
479408;441413
479410;441413
479412;441413
479416;441413
481099;441413
481119;441413
482531;414138
423271;397372
485138;441413
486311;441413
486321;441413
485129;90183
486754;480936
489533;73835
496040;441413
496048;1776681
498179;486693
501081;182381
505646;441413
507065;9971787
507077;441413
507079;441413
511472;441413
511525;327414
515768;267834
516654;410166
507969;4489842
507978;4489842
517587;441413
517600;441413
517644;441413
517695;441413
517709;441413
518585;216080
519559;283134
519998;10017625
522926;466857
522934;441413
529199;384611
529216;425518
397330;360396
462678;278722
533808;165707
544586;448973
540486;383650
544520;228339
544480;49587
547119;441413
547129;441413
547146;441413
547215;441413
550163;385361
547242;433460
556299;358023
559652;441413
559655;441413
559659;441413
559668;441413
559670;515913
559860;341075
562242;441413
562280;441413
559884;283134
559994;400949
556289;441413
562096;441413
568705;10017625
566273;66490
566598;75403
566665;165707
